Orthogroup	Cmi	Cpl	Ler	Loc	Gga	Xtr
N0.HOG0000010			Lerinacea|LE10490.1, Lerinacea|LE00617.1, Lerinacea|LE26406.1, Lerinacea|LE20858.1, Lerinacea|LE13160.1, Lerinacea|LE01941.1, Lerinacea|LE13046.1, Lerinacea|LE16825.1, Lerinacea|LE08931.1, Lerinacea|LE09407.1, Lerinacea|LE03802.1, Lerinacea|LE12066.1, Lerinacea|LE14511.1, Lerinacea|LE07751.1, Lerinacea|LE27244.1, Lerinacea|LE08476.1, Lerinacea|LE30414.1, Lerinacea|LE28361.1			Xentr10.7|7809.1
N0.HOG0000011		Cplagiosum|14931.1	Lerinacea|LE06829.1, Lerinacea|LE14971.1, Lerinacea|LE21237.1, Lerinacea|LE23868.1, Lerinacea|LE30417.1, Lerinacea|LE06299.1, Lerinacea|LE17239.1, Lerinacea|LE13170.1, Lerinacea|LE19703.1, Lerinacea|LE09443.1, Lerinacea|LE19186.1, Lerinacea|LE15305.1, Lerinacea|LE07181.1, Lerinacea|LE19984.1, Lerinacea|LE25273.1			
N0.HOG0000012			Lerinacea|LE18003.1, Lerinacea|LE18791.1, Lerinacea|LE13663.1, Lerinacea|LE00833.1		Ggallus|17720.1	
N0.HOG0000013			Lerinacea|LE24122.1		Ggallus|3173.1, Ggallus|15832.1	
N0.HOG0000014			Lerinacea|LE06834.1, Lerinacea|LE20080.1, Lerinacea|LE24824.1, Lerinacea|LE07804.1, Lerinacea|LE21501.1, Lerinacea|LE21398.1, Lerinacea|LE01492.1, Lerinacea|LE18463.1, Lerinacea|LE08449.1, Lerinacea|LE23338.1, Lerinacea|LE04719.1, Lerinacea|LE10689.1, Lerinacea|LE08061.1, Lerinacea|LE23299.1, Lerinacea|LE17054.1, Lerinacea|LE00868.1, Lerinacea|LE08259.1, Lerinacea|LE17639.1, Lerinacea|LE19556.1, Lerinacea|LE27471.1, Lerinacea|LE14359.1, Lerinacea|LE16841.1, Lerinacea|LE01352.1, Lerinacea|LE08825.1, Lerinacea|LE13341.1, Lerinacea|LE23860.1, Lerinacea|LE01027.1, Lerinacea|LE23127.1, Lerinacea|LE22544.1, Lerinacea|LE01363.1, Lerinacea|LE14366.1, Lerinacea|LE18516.1, Lerinacea|LE06599.1, Lerinacea|LE28889.1, Lerinacea|LE01224.1, Lerinacea|LE09321.1, Lerinacea|LE23374.1, Lerinacea|LE20965.1, Lerinacea|LE23636.1, Lerinacea|LE30140.1, Lerinacea|LE03068.1, Lerinacea|LE14902.1, Lerinacea|LE03936.1, Lerinacea|LE20710.1, Lerinacea|LE08821.1			
N0.HOG0000015	Cmi|9195.1		Lerinacea|LE18563.1, Lerinacea|LE15713.1, Lerinacea|LE18194.1, Lerinacea|LE20044.1, Lerinacea|LE06318.1, Lerinacea|LE06614.1, Lerinacea|LE27935.1, Lerinacea|LE01855.1, Lerinacea|LE12220.1, Lerinacea|LE03927.1, Lerinacea|LE07761.1, Lerinacea|LE25606.1, Lerinacea|LE26442.1, Lerinacea|LE25786.1, Lerinacea|LE29384.1, Lerinacea|LE09763.1, Lerinacea|LE03964.1, Lerinacea|LE20379.1, Lerinacea|LE25584.1, Lerinacea|LE24688.1, Lerinacea|LE13847.1, Lerinacea|LE22073.1, Lerinacea|LE20183.1, Lerinacea|LE14832.1, Lerinacea|LE20125.1, Lerinacea|LE17281.1, Lerinacea|LE24862.1, Lerinacea|LE01611.1, Lerinacea|LE27655.1, Lerinacea|LE00485.1, Lerinacea|LE19527.1, Lerinacea|LE13988.1, Lerinacea|LE06886.1, Lerinacea|LE15877.1, Lerinacea|LE24235.1, Lerinacea|LE29858.1, Lerinacea|LE16837.1, Lerinacea|LE23778.1, Lerinacea|LE04973.1, Lerinacea|LE03633.1, Lerinacea|LE16753.1, Lerinacea|LE26378.1, Lerinacea|LE00099.1, Lerinacea|LE09791.1, Lerinacea|LE11342.1, Lerinacea|LE12102.1, Lerinacea|LE17403.1, Lerinacea|LE21232.1, Lerinacea|LE17425.1, Lerinacea|LE26297.1, Lerinacea|LE26097.1, Lerinacea|LE22195.1, Lerinacea|LE17341.1, Lerinacea|LE03235.1, Lerinacea|LE20708.1, Lerinacea|LE22342.1, Lerinacea|LE16629.1, Lerinacea|LE01550.1, Lerinacea|LE24527.1, Lerinacea|LE00963.1, Lerinacea|LE24807.1, Lerinacea|LE17997.1, Lerinacea|LE27235.1, Lerinacea|LE12516.1, Lerinacea|LE20453.1, Lerinacea|LE29890.1, Lerinacea|LE28402.1, Lerinacea|LE26646.1, Lerinacea|LE22781.1, Lerinacea|LE07557.1, Lerinacea|LE21923.1, Lerinacea|LE01410.1, Lerinacea|LE04124.1, Lerinacea|LE19973.1, Lerinacea|LE03393.1, Lerinacea|LE12835.1, Lerinacea|LE06427.1, Lerinacea|LE03275.1, Lerinacea|LE05243.1, Lerinacea|LE10232.1, Lerinacea|LE11278.1, Lerinacea|LE13643.1, Lerinacea|LE20552.1, Lerinacea|LE28582.1, Lerinacea|LE26917.1, Lerinacea|LE08539.1, Lerinacea|LE18409.1, Lerinacea|LE14649.1, Lerinacea|LE21139.1, Lerinacea|LE29177.1, Lerinacea|LE26816.1, Lerinacea|LE17419.1, Lerinacea|LE22578.1, Lerinacea|LE22435.1, Lerinacea|LE28110.1, Lerinacea|LE07790.1, Lerinacea|LE07385.1, Lerinacea|LE27695.1, Lerinacea|LE03674.1, Lerinacea|LE00503.1, Lerinacea|LE26308.1, Lerinacea|LE11753.1, Lerinacea|LE21343.1			Xentr10.7|16785.1
N0.HOG0000016	Cmi|16675.1	Cplagiosum|17591.1	Lerinacea|LE11173.1, Lerinacea|LE27911.1, Lerinacea|LE23130.1, Lerinacea|LE08479.1, Lerinacea|LE15044.1	Loculatus|4089.2		
N0.HOG0000017	Cmi|5266.1	Cplagiosum|6826.2	Lerinacea|LE08950.1, Lerinacea|LE27028.1, Lerinacea|LE05730.1, Lerinacea|LE22617.1			Xentr10.7|17354.1
N0.HOG0000018	Cmi|4303.1, Cmi|16910.1	Cplagiosum|1543.2, Cplagiosum|35.1	Lerinacea|LE29506.1, Lerinacea|LE02396.1, Lerinacea|LE25534.1, Lerinacea|LE05821.1, Lerinacea|LE08025.1, Lerinacea|LE02094.1, Lerinacea|LE10313.1, Lerinacea|LE08469.1, Lerinacea|LE08202.1, Lerinacea|LE19962.1, Lerinacea|LE27160.1, Lerinacea|LE19696.1, Lerinacea|LE10107.1, Lerinacea|LE16808.1, Lerinacea|LE19491.1, Lerinacea|LE27707.1, Lerinacea|LE18117.1, Lerinacea|LE23759.1, Lerinacea|LE17631.1, Lerinacea|LE18353.1, Lerinacea|LE07355.1, Lerinacea|LE03128.1, Lerinacea|LE03693.1, Lerinacea|LE14021.1, Lerinacea|LE19262.1, Lerinacea|LE21227.1, Lerinacea|LE03460.1, Lerinacea|LE24494.1, Lerinacea|LE00190.1, Lerinacea|LE29116.1, Lerinacea|LE22429.1, Lerinacea|LE27301.1, Lerinacea|LE17245.1, Lerinacea|LE19952.1, Lerinacea|LE22715.1, Lerinacea|LE06464.1, Lerinacea|LE14441.1, Lerinacea|LE07597.1, Lerinacea|LE18962.1, Lerinacea|LE00550.1, Lerinacea|LE00966.1, Lerinacea|LE27184.1, Lerinacea|LE17322.1, Lerinacea|LE30232.1, Lerinacea|LE18514.1, Lerinacea|LE26266.1, Lerinacea|LE02402.1, Lerinacea|LE01872.1, Lerinacea|LE21264.1, Lerinacea|LE05463.1, Lerinacea|LE09480.1, Lerinacea|LE20402.1, Lerinacea|LE07826.1, Lerinacea|LE10592.1, Lerinacea|LE23862.1, Lerinacea|LE21832.1, Lerinacea|LE13675.1, Lerinacea|LE28550.1, Lerinacea|LE03965.1, Lerinacea|LE25151.1, Lerinacea|LE28170.1, Lerinacea|LE22537.1	Loculatus|13334.1	Ggallus|4531.1	Xentr10.7|12573.1
N0.HOG0000019	Cmi|8709.1		Lerinacea|LE03660.1, Lerinacea|LE30230.1, Lerinacea|LE27306.1, Lerinacea|LE13334.1, Lerinacea|LE23293.1, Lerinacea|LE12957.1, Lerinacea|LE01643.1, Lerinacea|LE21868.1, Lerinacea|LE06177.1, Lerinacea|LE11410.1, Lerinacea|LE09500.1, Lerinacea|LE00861.1, Lerinacea|LE17522.1, Lerinacea|LE08435.1, Lerinacea|LE10146.1, Lerinacea|LE02274.1, Lerinacea|LE01933.1, Lerinacea|LE10535.1, Lerinacea|LE18957.1, Lerinacea|LE22799.1, Lerinacea|LE19401.1, Lerinacea|LE28951.1, Lerinacea|LE03240.1, Lerinacea|LE13267.1, Lerinacea|LE19307.1, Lerinacea|LE23208.1, Lerinacea|LE03215.1, Lerinacea|LE25535.1, Lerinacea|LE27735.1, Lerinacea|LE16851.1, Lerinacea|LE27373.1, Lerinacea|LE13891.1, Lerinacea|LE01940.1, Lerinacea|LE24227.1, Lerinacea|LE25665.1, Lerinacea|LE10377.1, Lerinacea|LE09432.1, Lerinacea|LE15242.1, Lerinacea|LE12431.1, Lerinacea|LE23877.1, Lerinacea|LE09274.1, Lerinacea|LE27295.1, Lerinacea|LE01723.1, Lerinacea|LE20101.1, Lerinacea|LE17542.1, Lerinacea|LE10169.1, Lerinacea|LE15313.1, Lerinacea|LE00438.1, Lerinacea|LE06883.1, Lerinacea|LE11009.1, Lerinacea|LE14300.1, Lerinacea|LE16871.1, Lerinacea|LE21216.1, Lerinacea|LE18635.1, Lerinacea|LE15662.1, Lerinacea|LE15838.1, Lerinacea|LE08846.1, Lerinacea|LE17195.1, Lerinacea|LE19803.1, Lerinacea|LE17240.1, Lerinacea|LE08033.1, Lerinacea|LE19260.1, Lerinacea|LE23649.1, Lerinacea|LE08373.1, Lerinacea|LE13904.1, Lerinacea|LE28809.1, Lerinacea|LE09541.1, Lerinacea|LE29173.1, Lerinacea|LE22586.1, Lerinacea|LE15644.1, Lerinacea|LE23637.1, Lerinacea|LE10615.1, Lerinacea|LE15188.1, Lerinacea|LE19536.1, Lerinacea|LE00477.1, Lerinacea|LE24676.1, Lerinacea|LE07541.1, Lerinacea|LE17169.1, Lerinacea|LE27733.1, Lerinacea|LE08831.1, Lerinacea|LE01276.1, Lerinacea|LE06490.1, Lerinacea|LE12740.1, Lerinacea|LE01918.1, Lerinacea|LE29013.1, Lerinacea|LE16623.1, Lerinacea|LE28570.1, Lerinacea|LE07667.1, Lerinacea|LE14898.1, Lerinacea|LE17442.1, Lerinacea|LE17470.1, Lerinacea|LE19454.1, Lerinacea|LE24716.1, Lerinacea|LE10030.1, Lerinacea|LE03346.1, Lerinacea|LE10410.1, Lerinacea|LE24322.1, Lerinacea|LE14028.1, Lerinacea|LE24266.1, Lerinacea|LE13508.1, Lerinacea|LE14979.1, Lerinacea|LE16974.1, Lerinacea|LE01187.1, Lerinacea|LE14208.1, Lerinacea|LE26558.1, Lerinacea|LE09910.1, Lerinacea|LE04429.1, Lerinacea|LE08306.1, Lerinacea|LE12795.1, Lerinacea|LE15096.1, Lerinacea|LE19823.1, Lerinacea|LE07752.1, Lerinacea|LE23517.1, Lerinacea|LE24347.1, Lerinacea|LE27650.1, Lerinacea|LE00268.1, Lerinacea|LE16878.1, Lerinacea|LE13796.1, Lerinacea|LE24864.1, Lerinacea|LE10516.1, Lerinacea|LE24379.1, Lerinacea|LE14155.1, Lerinacea|LE18066.1, Lerinacea|LE26351.1, Lerinacea|LE24088.1, Lerinacea|LE16853.1, Lerinacea|LE25003.1, Lerinacea|LE23443.1, Lerinacea|LE22610.1, Lerinacea|LE22522.1, Lerinacea|LE04189.1, Lerinacea|LE26152.1, Lerinacea|LE14703.1, Lerinacea|LE17474.1, Lerinacea|LE09539.1, Lerinacea|LE03792.1, Lerinacea|LE22453.1, Lerinacea|LE23123.1, Lerinacea|LE14498.1, Lerinacea|LE25462.1, Lerinacea|LE09962.1, Lerinacea|LE13572.1, Lerinacea|LE28465.1, Lerinacea|LE12063.1, Lerinacea|LE22499.1, Lerinacea|LE12765.1, Lerinacea|LE21790.1, Lerinacea|LE27635.1, Lerinacea|LE20047.1, Lerinacea|LE09595.1, Lerinacea|LE08212.1, Lerinacea|LE16953.1, Lerinacea|LE12984.1, Lerinacea|LE17696.1, Lerinacea|LE13383.1, Lerinacea|LE01524.1, Lerinacea|LE24560.1, Lerinacea|LE27641.1, Lerinacea|LE12904.1, Lerinacea|LE29741.1, Lerinacea|LE13095.1, Lerinacea|LE13115.1, Lerinacea|LE14220.1, Lerinacea|LE04116.1, Lerinacea|LE24314.1, Lerinacea|LE22847.1, Lerinacea|LE24125.1, Lerinacea|LE01793.1, Lerinacea|LE27228.1, Lerinacea|LE24297.1, Lerinacea|LE07706.1, Lerinacea|LE12376.1, Lerinacea|LE17056.1, Lerinacea|LE22646.1	Loculatus|5294.1		
N0.HOG0000020	Cmi|7493.1	Cplagiosum|11691.2	Lerinacea|LE08269.1, Lerinacea|LE01342.1, Lerinacea|LE26231.1, Lerinacea|LE24354.1, Lerinacea|LE23805.1, Lerinacea|LE29959.1		Ggallus|134.1	
N0.HOG0000021			Lerinacea|LE04035.1, Lerinacea|LE03890.1, Lerinacea|LE13918.1, Lerinacea|LE13949.1, Lerinacea|LE14813.1, Lerinacea|LE11157.1, Lerinacea|LE16814.1, Lerinacea|LE14030.1, Lerinacea|LE19665.1, Lerinacea|LE01218.1, Lerinacea|LE13673.1, Lerinacea|LE10577.1, Lerinacea|LE27402.1, Lerinacea|LE26486.1, Lerinacea|LE24144.1, Lerinacea|LE22644.1, Lerinacea|LE23356.1, Lerinacea|LE29100.1, Lerinacea|LE21438.1, Lerinacea|LE22111.1, Lerinacea|LE01231.1, Lerinacea|LE17493.1, Lerinacea|LE00387.1, Lerinacea|LE14540.1, Lerinacea|LE10684.1, Lerinacea|LE29099.1, Lerinacea|LE19691.1, Lerinacea|LE16578.1, Lerinacea|LE28925.1, Lerinacea|LE16022.1, Lerinacea|LE30198.1, Lerinacea|LE22832.1, Lerinacea|LE11081.1, Lerinacea|LE19860.1, Lerinacea|LE20041.1, Lerinacea|LE00920.1, Lerinacea|LE01972.1, Lerinacea|LE13516.1, Lerinacea|LE12280.1, Lerinacea|LE26951.1, Lerinacea|LE24543.1, Lerinacea|LE13077.1, Lerinacea|LE16761.1, Lerinacea|LE17255.1, Lerinacea|LE19695.1, Lerinacea|LE05124.1, Lerinacea|LE27452.1, Lerinacea|LE26894.1, Lerinacea|LE11855.1, Lerinacea|LE03770.1, Lerinacea|LE21439.1, Lerinacea|LE09601.1, Lerinacea|LE16816.1, Lerinacea|LE19948.1, Lerinacea|LE29101.1, Lerinacea|LE16916.1, Lerinacea|LE00806.1, Lerinacea|LE10924.1, Lerinacea|LE13134.1, Lerinacea|LE20205.1, Lerinacea|LE12981.1, Lerinacea|LE10303.1, Lerinacea|LE07397.1, Lerinacea|LE09112.1, Lerinacea|LE22462.1, Lerinacea|LE01575.1, Lerinacea|LE08295.1, Lerinacea|LE12335.1, Lerinacea|LE02401.1, Lerinacea|LE21334.1, Lerinacea|LE26395.1, Lerinacea|LE16657.1, Lerinacea|LE23774.1, Lerinacea|LE26260.1, Lerinacea|LE25882.1, Lerinacea|LE23113.1, Lerinacea|LE14054.1, Lerinacea|LE13191.1, Lerinacea|LE02014.1, Lerinacea|LE19754.1, Lerinacea|LE17509.1, Lerinacea|LE03264.1, Lerinacea|LE13653.1, Lerinacea|LE04356.1, Lerinacea|LE00254.1, Lerinacea|LE17440.1, Lerinacea|LE14338.1, Lerinacea|LE26385.1, Lerinacea|LE10788.1, Lerinacea|LE12915.1, Lerinacea|LE16043.1, Lerinacea|LE17872.1, Lerinacea|LE25576.1, Lerinacea|LE05955.1, Lerinacea|LE10462.1, Lerinacea|LE26259.1, Lerinacea|LE17469.1, Lerinacea|LE24517.1, Lerinacea|LE10081.1, Lerinacea|LE11335.1, Lerinacea|LE21879.1, Lerinacea|LE23238.1, Lerinacea|LE27226.1, Lerinacea|LE17778.1, Lerinacea|LE14067.1, Lerinacea|LE22941.1, Lerinacea|LE06431.1, Lerinacea|LE13357.1, Lerinacea|LE05421.1, Lerinacea|LE26168.1, Lerinacea|LE13262.1, Lerinacea|LE16869.1, Lerinacea|LE18070.1, Lerinacea|LE03613.1, Lerinacea|LE00576.1, Lerinacea|LE07398.1, Lerinacea|LE09151.1, Lerinacea|LE07904.1, Lerinacea|LE26707.1, Lerinacea|LE23659.1, Lerinacea|LE17706.1, Lerinacea|LE16843.1, Lerinacea|LE26359.1, Lerinacea|LE13457.1, Lerinacea|LE09586.1, Lerinacea|LE22314.1, Lerinacea|LE13085.1, Lerinacea|LE09588.1, Lerinacea|LE13194.1, Lerinacea|LE13712.1, Lerinacea|LE24701.1, Lerinacea|LE27590.1, Lerinacea|LE10980.1, Lerinacea|LE10437.1, Lerinacea|LE17347.1, Lerinacea|LE06720.1, Lerinacea|LE21738.1, Lerinacea|LE27746.1, Lerinacea|LE09083.1, Lerinacea|LE27478.1, Lerinacea|LE01680.1, Lerinacea|LE09165.1, Lerinacea|LE24830.1, Lerinacea|LE26531.1, Lerinacea|LE14991.1, Lerinacea|LE05728.1, Lerinacea|LE03592.1, Lerinacea|LE22029.1, Lerinacea|LE05100.1, Lerinacea|LE09948.1, Lerinacea|LE00140.1, Lerinacea|LE05898.1, Lerinacea|LE24689.1	Loculatus|8071.1	Ggallus|79.1	
