Orthogroup	Cmi	Cpl	Ler	Loc	Gga	Xtr
N0.HOG0000018	Cmi03, Cmi28	Cpl01, Cpl03	Ler28, Ler15, Ler01, Ler05, Ler10, Ler33, Ler08, Ler38, Ler12, Ler43, Ler18, Ler22, Ler04, Ler03, Ler24, Ler06, Ler13, Ler20, Ler31, Ler27, Ler11, Ler07, Ler29, Ler45, Ler26, Ler02, Ler32, Ler30, Ler40, Ler21	Loc16	Gga03	Xtr05
N0.HOG0000019	Cmi07		Ler28, Ler15, Ler01, Ler19, Ler05, Ler10, Ler08, Ler12, Ler18, Ler22, Ler03, Ler04, Ler06, Ler13, Ler14, Ler20, Ler27, Ler07, Ler23, Ler11, Ler25, Ler29, Ler02, Ler32, Ler37, Ler30, Ler34, Ler09, Ler17, Ler21	Loc05		
N0.HOG0000020	Cmi05	Cpl23	Ler02, Ler22, Ler05, Ler04, Ler07		Gga01	
N0.HOG0000021			Ler28, Ler15, Ler01, Ler19, Ler05, Ler10, Ler33, Ler08, Ler38, Ler12, Ler22, Ler03, Ler04, Ler06, Ler13, Ler14, Ler20, Ler31, Ler50, Ler11, Ler23, Ler07, Ler25, Ler29, Ler02, Ler32, Ler37, Ler30, Ler09, Ler17, Ler21	Loc08	Gga01	
N0.HOG0000022	Cmi12	Cpl10, Cpl37, Cpl46, Cpl27, Cpl49, Cpl30, Cpl24, Cpl08, Cpl44, Cpl26, Cpl38, Cpl25, Cpl14, Cpl50, Cpl31, Cpl32, Cpl45, Cpl17	Ler15	Loc01		Xtr05
N0.HOG0000023				Loc26	Gga01	Xtr06, Xtr09
N0.HOG0000024		Cpl50	LerSca			Xtr06, Xtr09
N0.HOG0000025		Cpl50, Cpl07, Cpl04	Ler08, Ler38, Ler12, Ler04, Ler06			Xtr09
N0.HOG0000026	Cmi05	Cpl50	LerSca	Loc14		
N0.HOG0000027		Cpl15	Ler28, Ler15, Ler01, Ler05, Ler10, Ler08, Ler38, Ler12, Ler18, Ler22, Ler04, Ler03, Ler24, Ler06, Ler13, Ler31, Ler20, Ler27, Ler07, Ler23, Ler11, Ler25, Ler16, Ler02, Ler32, Ler30, Ler09, Ler17, Ler21			
N0.HOG0000028			Ler28, Ler15, Ler01, Ler05, Ler10, Ler08, Ler12, Ler18, Ler22, Ler04, Ler03, Ler24, Ler06, Ler13, Ler14, Ler20, Ler27, Ler07, Ler23, Ler25, Ler11, Ler16, Ler42, Ler26, Ler02, Ler32, Ler34, Ler09, Ler17, Ler21			
N0.HOG0000029						Xtr02, Xtr06, Xtr10, Xtr08, Xtr01, Xtr03, Xtr09
N0.HOG0000030	Cmi30			Loc07		Xtr09, Xtr05
N0.HOG0000031	CmiSca	CplSca	LerSca	Loc05		
N0.HOG0000032	Cmi30			Loc05		
N0.HOG0000033	Cmi29, Cmi09, Cmi30		LerSca	Loc11, Loc10, Loc09, Loc02, Loc05		
N0.HOG0000034						Xtr09, Xtr04
N0.HOG0000035						Xtr07, Xtr08, Xtr03
N0.HOG0000036			Ler29			Xtr06
N0.HOG0000037			Ler28, Ler01, Ler05, Ler10, Ler08, Ler38, Ler12, Ler18, Ler22, Ler03, Ler04, Ler24, Ler06, Ler13, Ler14, Ler20, Ler11, Ler07, Ler02, Ler30, Ler09, Ler17			
N0.HOG0000038			Ler01, Ler05			
N0.HOG0000039			Ler17, Ler01, Ler13, Ler14, Ler05, Ler07, Ler23, Ler18, Ler08, Ler02, Ler03, Ler22, Ler04, Ler30, Ler06			
N0.HOG0000040			Ler05, Ler17, Ler06			
N0.HOG0000041			Ler29, Ler01, Ler05			
N0.HOG0000042			Ler02			Xtr01
N0.HOG0000043			Ler27, Ler06			Xtr01
N0.HOG0000044	CmiSca	Cpl09	Ler01, Ler05, Ler33, Ler47, Ler08, Ler03, Ler04, Ler06, Ler14, Ler31, Ler20, Ler27, Ler07, Ler23, Ler25, Ler26, Ler02, Ler32, Ler30, Ler19	Loc17		
N0.HOG0000045					GgaZ, Gga01, Gga02, Gga12, Gga28	
N0.HOG0000046			Ler28, Ler15, Ler01, Ler19, Ler05, Ler10, Ler47, Ler36, Ler08, Ler12, Ler18, Ler22, Ler04, Ler03, Ler06, Ler13, Ler14, Ler20, Ler27, Ler07, Ler23, Ler11, Ler35, Ler02, Ler32, Ler30, Ler09, Ler17, Ler21			
N0.HOG0000047			Ler28, Ler15, Ler01, Ler05, Ler10, Ler08, Ler12, Ler18, Ler04, Ler03, Ler06, Ler13, Ler14, Ler27, Ler11, Ler07, Ler29, Ler16, Ler35, Ler45, Ler02, Ler32, Ler37, Ler30, Ler09, Ler17, Ler19			
N0.HOG0000048	Cmi04	Cpl07, Cpl39, Cpl37, Cpl41, Cpl46, Cpl49, Cpl12, Cpl42, Cpl17	Ler28, Ler24	Loc04		
N0.HOG0000049	CmiSca	Cpl50	Ler03		Gga01	Xtr06
N0.HOG0000050	CmiSca	Cpl50				Xtr06
N0.HOG0000051		Cpl37	LerSca			Xtr09
N0.HOG0000052		Cpl50	Ler01		Gga01	Xtr09
N0.HOG0000053			LerSca			Xtr03
N0.HOG0000054			LerSca			Xtr06
N0.HOG0000055			LerSca			Xtr03
N0.HOG0000056			LerSca		Gga01	Xtr03
N0.HOG0000057					Gga01	Xtr06
N0.HOG0000058			LerSca		Gga01	
N0.HOG0000059			LerSca			Xtr06
N0.HOG0000060			LerSca			Xtr03
N0.HOG0000061		Cpl50				Xtr06
N0.HOG0000062		Cpl50	LerSca			
N0.HOG0000063	Cmi03	Cpl03	Ler23, Ler20, Ler05	Loc02	Gga38	Xtr10, Xtr09, Xtr05
N0.HOG0000064		Cpl21			Gga03	
N0.HOG0000065	CmiSca	Cpl24		Loc10		
N0.HOG0000066		Cpl02	Ler28, Ler15, Ler01, Ler05, Ler10, Ler33, Ler08, Ler38, Ler12, Ler04, Ler03, Ler06, Ler13, Ler14, Ler20, Ler31, Ler07, Ler11, Ler25, Ler23, Ler29, Ler16, Ler45, Ler02, Ler09, Ler17, Ler19			Xtr01
N0.HOG0000067		Cpl27	Ler28, Ler15, Ler01, Ler05, Ler10, Ler33, Ler08, Ler12, Ler18, Ler22, Ler04, Ler03, Ler24, Ler06, Ler13, Ler14, Ler20, Ler31, Ler07, Ler11, Ler23, Ler29, Ler16, Ler02, Ler37, Ler30, Ler34, Ler09, Ler17, Ler21		Gga01	
N0.HOG0000068	Cmi02	Cpl29	Ler02		Gga02	Xtr06
N0.HOG0000069	Cmi01	CplSca	Ler15, Ler01, Ler19, Ler05, Ler33, Ler36, Ler08, Ler38, Ler12, Ler18, Ler22, Ler03, Ler04, Ler06, Ler13, Ler14, Ler31, Ler20, Ler27, Ler07, Ler23, Ler25, Ler11, Ler29, Ler26, Ler39, Ler02, Ler32, Ler30, Ler17, Ler21	Loc11		Xtr03
N0.HOG0000070	Cmi27, Cmi30	Cpl44, Cpl07, Cpl48, Cpl39, Cpl37, Cpl46, Cpl27, Cpl49, Cpl47, Cpl50, Cpl12, Cpl42, Cpl08, Cpl45, Cpl17	Ler24			Xtr05
N0.HOG0000071		Cpl24, Cpl12	Ler15, Ler01, Ler05, Ler10, Ler33, Ler36, Ler08, Ler38, Ler12, Ler18, Ler03, Ler04, Ler24, Ler06, Ler13, Ler14, Ler20, Ler27, Ler07, Ler11, Ler23, Ler16, Ler26, Ler02, Ler32, Ler41, Ler30, Ler34, Ler09, Ler17, Ler19			
N0.HOG0000072	Cmi06	Cpl07	LerSca	Loc12	Gga09	
N0.HOG0000073	Cmi06			Loc05		
N0.HOG0000074	Cmi06	Cpl07	Ler07	Loc12		
N0.HOG0000075	Cmi06	Cpl07	Ler07	Loc12		
N0.HOG0000076	CmiSca	Cpl37	Ler15, Ler29		Gga01	Xtr03
N0.HOG0000077		Cpl50	Ler33		Gga01	Xtr03, Xtr05
N0.HOG0000078		Cpl50				Xtr06
N0.HOG0000079		Cpl50				Xtr03
N0.HOG0000080		CplSca	LerSca			Xtr06
N0.HOG0000081		Cpl12				Xtr03
N0.HOG0000082	CmiSca	Cpl50	LerSca			Xtr03
N0.HOG0000083			LerSca			Xtr06
N0.HOG0000084		CplSca	Ler04	Loc10		Xtr03
N0.HOG0000085		CplSca				Xtr03
N0.HOG0000086		CplSca	LerSca			
N0.HOG0000087			LerSca		Gga01	Xtr06
N0.HOG0000088	CmiSca	Cpl50				Xtr06
N0.HOG0000089			LerSca			Xtr05
N0.HOG0000090			LerSca			Xtr03
N0.HOG0000091		CplSca	LerSca			
N0.HOG0000092	CmiSca	Cpl18	Ler16		Gga12	Xtr04
N0.HOG0000093	CmiSca	Cpl37	LerSca	Loc26	Gga24	Xtr07
N0.HOG0000094			Ler38, Ler32			Xtr06
N0.HOG0000095			LerSca		Gga01	Xtr06, Xtr03, Xtr09
N0.HOG0000096	CmiSca	Cpl03, Cpl37	LerSca	LocSca	Gga31	
N0.HOG0000097	Cmi05	Cpl23	Ler01	Loc08	Gga01	Xtr03
N0.HOG0000098	Cmi14	Cpl01, Cpl17	Ler15, Ler02, Ler38, Ler17	Loc23	Gga11	Xtr04
N0.HOG0000099	Cmi04	CplSca	Ler20	Loc03		
N0.HOG0000100			Ler03, Ler01, Ler17, Ler22			Xtr02
N0.HOG0000101			Ler01, Ler05, Ler10, Ler36, Ler12, Ler22, Ler03, Ler04, Ler06, Ler14, Ler20, Ler07, Ler23, Ler35, Ler16, Ler26, Ler02, Ler30, Ler40, Ler09	Loc24		
N0.HOG0000102			Ler28, Ler15, Ler01, Ler19, Ler05, Ler10, Ler08, Ler38, Ler12, Ler04, Ler03, Ler06, Ler14, Ler27, Ler11, Ler23, Ler07, Ler25, Ler26, Ler02, Ler30, Ler34, Ler09, Ler17, Ler21			
N0.HOG0000103						Xtr07, Xtr06, Xtr08, Xtr03, Xtr09, Xtr04, Xtr02, Xtr10, Xtr05, Xtr01
N0.HOG0000104						Xtr02, Xtr10, Xtr08, Xtr01, Xtr03, Xtr09
N0.HOG0000105			Ler28, Ler01, Ler05, Ler33, Ler08, Ler12, Ler03, Ler04, Ler13, Ler14, Ler07, Ler23, Ler11, Ler26, Ler02, Ler32, Ler09, Ler19			
N0.HOG0000106			Ler15, Ler01, Ler19, Ler05, Ler10, Ler47, Ler12, Ler04, Ler03, Ler24, Ler06, Ler13, Ler14, Ler20, Ler46, Ler07, Ler11, Ler25, Ler16, Ler26, Ler02, Ler32, Ler30, Ler09, Ler21			
N0.HOG0000107			Ler28, Ler15, Ler01, Ler05, Ler33, Ler36, Ler08, Ler38, Ler12, Ler04, Ler03, Ler24, Ler06, Ler13, Ler14, Ler20, Ler27, Ler11, Ler07, Ler25, Ler29, Ler35, Ler26, Ler39, Ler02, Ler32, Ler09, Ler17, Ler19			
N0.HOG0000108			Ler28, Ler15, Ler01, Ler19, Ler05, Ler10, Ler08, Ler12, Ler43, Ler22, Ler03, Ler04, Ler24, Ler06, Ler13, Ler14, Ler27, Ler07, Ler11, Ler16, Ler26, Ler02, Ler37, Ler30, Ler34, Ler17, Ler21			
N0.HOG0000109			Ler01, Ler05, Ler10, Ler08, Ler18, Ler04, Ler03, Ler06, Ler13, Ler14, Ler20, Ler27, Ler11, Ler23, Ler07, Ler25, Ler16, Ler26, Ler02, Ler30, Ler09, Ler17, Ler21			
N0.HOG0000110						Xtr02, Xtr10, Xtr08, Xtr05, Xtr01, Xtr03, Xtr09
N0.HOG0000111					Gga16, Gga31	Xtr07
N0.HOG0000112			Ler28, Ler15, Ler01, Ler19, Ler05, Ler33, Ler08, Ler12, Ler22, Ler04, Ler06, Ler13, Ler14, Ler31, Ler20, Ler11, Ler07, Ler29, Ler35, Ler42, Ler26, Ler02, Ler09, Ler17, Ler21			
N0.HOG0000113			Ler01, Ler13, Ler14, Ler05, Ler10, Ler07, Ler04, Ler26, Ler08, Ler02, Ler12, Ler32, Ler03, Ler09, Ler06			
N0.HOG0000114	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0000115	Cmi11	Cpl13	Ler03, Ler19	Loc14	Gga17	Xtr05
N0.HOG0000116	Cmi18	Cpl20	Ler01, Ler20, Ler14, Ler05, Ler07, Ler19, Ler06	Loc18	Gga20	Xtr10
N0.HOG0000117	Cmi13	Cpl14		Loc06	Gga13	Xtr03
N0.HOG0000118		CplSca	Ler15, Ler01, Ler19, Ler05, Ler10, Ler33, Ler08, Ler38, Ler06, Ler14, Ler07, Ler11, Ler26, Ler39, Ler37, Ler30, Ler09, Ler21			
N0.HOG0000119					Gga06, Gga25, Gga01, Gga27	
N0.HOG0000120			Ler01, Ler05, Ler10, Ler08, Ler03, Ler04, Ler06, Ler13, Ler31, Ler14, Ler07, Ler23, Ler11, Ler02, Ler09, Ler17, Ler21			
N0.HOG0000121			Ler28, Ler15, Ler01, Ler05, Ler10, Ler08, Ler12, Ler18, Ler22, Ler04, Ler03, Ler06, Ler13, Ler14, Ler11, Ler07, Ler16, Ler26, Ler02, Ler09			
N0.HOG0000122		Cpl23	Ler22	Loc08		Xtr03
N0.HOG0000123		CplSca	Ler28, Ler15, Ler01, Ler05, Ler10, Ler36, Ler08, Ler18, Ler04, Ler03, Ler06, Ler13, Ler14, Ler31, Ler20, Ler27, Ler07, Ler23, Ler49, Ler11, Ler25, Ler42, Ler29, Ler45, Ler02, Ler41, Ler40, Ler34, Ler17, Ler19			Xtr09
N0.HOG0000124	Cmi06	Cpl07	LerSca	Loc12	Gga07	Xtr09
N0.HOG0000125	Cmi27	Cpl43	Ler40	Loc04	Gga34	
N0.HOG0000126	CmiSca	Cpl03	LerSca	Loc01	Gga09	Xtr02
N0.HOG0000127	Cmi06	Cpl07	LerSca	Loc02	Gga01	Xtr03
N0.HOG0000128		Cpl07		Loc03	Gga01	Xtr09
N0.HOG0000129				Loc12		
N0.HOG0000130						Xtr09
N0.HOG0000131	Cmi06	Cpl07	LerSca			
N0.HOG0000132	Cmi27	Cpl43	Ler40		Gga34	Xtr02
N0.HOG0000133		Cpl43			Gga34	Xtr02
N0.HOG0000134	Cmi06	Cpl07				
N0.HOG0000135			Ler14	Loc14		
N0.HOG0000136			Ler01, Ler05, Ler10, Ler36, Ler08, Ler12, Ler18, Ler04, Ler03, Ler24, Ler06, Ler14, Ler31, Ler46, Ler11, Ler29, Ler16, Ler26, Ler02, Ler09			
N0.HOG0000137		Cpl44, Cpl26, Cpl34, Cpl20, Cpl10, Cpl37, Cpl41, Cpl24, Cpl27, Cpl30, Cpl31, Cpl45				
N0.HOG0000138			Ler15, Ler01, Ler05, Ler08, Ler12, Ler18, Ler03, Ler04, Ler24, Ler06, Ler13, Ler14, Ler20, Ler11, Ler07, Ler42, Ler45, Ler26, Ler02, Ler32, Ler34, Ler17, Ler21			
N0.HOG0000139		Cpl30, Cpl25, Cpl03, Cpl39, Cpl11				
N0.HOG0000140			Ler28, Ler01, Ler05, Ler10, Ler36, Ler08, Ler12, Ler18, Ler03, Ler04, Ler24, Ler13, Ler14, Ler31, Ler07, Ler23, Ler11, Ler29, Ler45, Ler26, Ler02, Ler34, Ler09, Ler17, Ler21			
N0.HOG0000141			Ler15, Ler01, Ler05, Ler10, Ler08, Ler38, Ler22, Ler03, Ler04, Ler06, Ler14, Ler20, Ler27, Ler07, Ler11, Ler29, Ler16, Ler26, Ler02, Ler30, Ler34, Ler09, Ler17, Ler19			
N0.HOG0000142			Ler28, Ler15, Ler01, Ler05, Ler10, Ler18, Ler04, Ler03, Ler24, Ler06, Ler14, Ler20, Ler27, Ler07, Ler11, Ler16, Ler26, Ler02, Ler37, Ler41, Ler30, Ler09, Ler19	Loc17		
N0.HOG0000143	Cmi20	Cpl24	Ler23	Loc10		Xtr10
N0.HOG0000144	Cmi20, Cmi02, Cmi14	Cpl24, Cpl17	Ler08, Ler23	Loc03, Loc09, Loc26, Loc05, Loc08, Loc12, Loc23, Loc14, Loc22, Loc01, Loc02		Xtr10
N0.HOG0000145		Cpl35	Ler28, Ler15, Ler01, Ler05, Ler10, Ler12, Ler22, Ler03, Ler04, Ler06, Ler13, Ler31, Ler20, Ler27, Ler07, Ler11, Ler25, Ler29, Ler16, Ler02, Ler32, Ler09, Ler19			
N0.HOG0000146		Cpl45, Cpl37	Ler04			
N0.HOG0000147					Gga01, GgaZ	
N0.HOG0000148	Cmi18	Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0000149		Cpl05		Loc03		
N0.HOG0000150	Cmi04				Gga01	Xtr02
N0.HOG0000151		Cpl24			Gga18	Xtr10
N0.HOG0000152		Cpl24	Ler23	Loc10		
N0.HOG0000153	Cmi20	Cpl24	Ler23	Loc10		Xtr08
N0.HOG0000154				Loc07	Gga19	Xtr01
N0.HOG0000155		Cpl41		Loc05, Loc07	Gga35	Xtr01
N0.HOG0000156			Ler01, Ler20, Ler14, Ler07, Ler11, Ler23, Ler16, Ler08, Ler02, Ler32, Ler09, Ler17, Ler19, Ler06			
N0.HOG0000157			Ler15, Ler01, Ler05, Ler10, Ler08, Ler38, Ler12, Ler22, Ler03, Ler04, Ler06, Ler13, Ler14, Ler20, Ler07, Ler25, Ler11, Ler29, Ler26, Ler02, Ler09, Ler17, Ler19			
N0.HOG0000158		CplSca		Loc26		Xtr03
N0.HOG0000159	CmiSca	CplSca	LerSca		Gga01	Xtr06, Xtr09
N0.HOG0000160	Cmi30				Gga16	
N0.HOG0000161	Cmi30	Cpl37	Ler02	Loc01	Gga28	
N0.HOG0000162				Loc28	Gga15	Xtr01
N0.HOG0000163			Ler28, Ler01, Ler05, Ler08, Ler38, Ler12, Ler04, Ler03, Ler06, Ler13, Ler14, Ler07, Ler11, Ler23, Ler29, Ler16, Ler39, Ler02, Ler09, Ler17			
N0.HOG0000164			Ler15, Ler01, Ler05, Ler10, Ler03, Ler04, Ler06, Ler13, Ler31, Ler20, Ler21, Ler07, Ler11, Ler16, Ler02, Ler09, Ler17, Ler19			
N0.HOG0000165			Ler01, Ler05, Ler10, Ler08, Ler12, Ler22, Ler04, Ler03, Ler24, Ler06, Ler14, Ler11, Ler07, Ler25, Ler29, Ler02, Ler32, Ler37, Ler17, Ler19			
N0.HOG0000166						Xtr07, Xtr06, Xtr08, Xtr03, Xtr09, Xtr04, Xtr02, Xtr10, Xtr05, Xtr01
N0.HOG0000167			Ler28, Ler15, Ler01, Ler19, Ler05, Ler10, Ler08, Ler12, Ler18, Ler04, Ler03, Ler14, Ler31, Ler20, Ler11, Ler23, Ler07, Ler29, Ler26, Ler02, Ler30, Ler09, Ler21	Loc08		
N0.HOG0000168	CmiSca	Cpl44	LerSca	Loc24	Gga27	Xtr01
N0.HOG0000169	Cmi02	Cpl39, Cpl04	Ler04	Loc02	Gga03	Xtr06
N0.HOG0000170		Cpl39	LerSca			
N0.HOG0000171	Cmi08	Cpl25	Ler25	Loc01	Gga15	
N0.HOG0000172		Cpl45		Loc05		
N0.HOG0000173	Cmi11		Ler14			
N0.HOG0000174	Cmi14	Cpl17	Ler17	Loc24		Xtr07
N0.HOG0000175					Gga22, Gga06, Gga18, Gga28, Gga13, Gga14, Gga23, Gga10, Gga24	
N0.HOG0000176					Gga32, Gga31, Gga02, Gga29, Gga18, Gga10, Gga16, Gga12, Gga33	
N0.HOG0000177			Ler28, Ler15, Ler01, Ler05, Ler08, Ler12, Ler18, Ler04, Ler03, Ler06, Ler13, Ler14, Ler07, Ler23, Ler29, Ler16, Ler26, Ler02, Ler09, Ler17, Ler21			
N0.HOG0000178	Cmi29, Cmi04	Cpl08, Cpl04	Ler03, Ler31, Ler50	Loc05	Gga35	Xtr01
N0.HOG0000179			Ler15, Ler01, Ler05, Ler10, Ler08, Ler12, Ler18, Ler22, Ler03, Ler04, Ler06, Ler13, Ler07, Ler23, Ler11, Ler25, Ler16, Ler02, Ler32, Ler09, Ler17			
N0.HOG0000180		Cpl10	Ler09	Loc07	Gga05, Gga03	Xtr01, Xtr07, Xtr08, Xtr05
N0.HOG0000181		Cpl49		Loc16, Loc07		Xtr04
N0.HOG0000182	Cmi16	CplSca	Ler20	Loc13	Gga14	Xtr09
N0.HOG0000183	Cmi20	Cpl24	Ler23	Loc10	Gga18, Gga10	
N0.HOG0000184		Cpl04	LerSca			
N0.HOG0000185		Cpl04	Ler04			
N0.HOG0000186	Cmi03	Cpl04		Loc05	Gga22	
N0.HOG0000187	Cmi07	Cpl22	Ler15	Loc27	Gga05	
N0.HOG0000188	Cmi15	Cpl21, Cpl09, Cpl15, Cpl47	Ler08, Ler12, Ler20	Loc24		
N0.HOG0000189		Cpl31		Loc24		Xtr07
N0.HOG0000190		CplSca		Loc24		
N0.HOG0000191			Ler15, Ler01, Ler05, Ler10, Ler08, Ler03, Ler04, Ler06, Ler13, Ler27, Ler11, Ler23, Ler07, Ler02, Ler30, Ler09, Ler17, Ler21			
N0.HOG0000192			Ler15, Ler01, Ler05, Ler33, Ler18, Ler03, Ler04, Ler06, Ler20, Ler31, Ler46, Ler07, Ler11, Ler25, Ler23, Ler16, Ler26, Ler02, Ler32, Ler17, Ler21			
N0.HOG0000193			Ler28, Ler15, Ler01, Ler19, Ler05, Ler12, Ler03, Ler04, Ler06, Ler13, Ler14, Ler20, Ler31, Ler11, Ler07, Ler23, Ler25, Ler29, Ler26, Ler02, Ler30, Ler09, Ler21			
N0.HOG0000194	Cmi03, Cmi07	Cpl22	Ler15	Loc05	Gga06	Xtr07
N0.HOG0000195					Gga19	
N0.HOG0000196	Cmi21	Cpl31	Ler29	Loc19		Xtr01
N0.HOG0000197	Cmi05, Cmi17	Cpl23, Cpl16	Ler22, Ler18	Loc08		Xtr03
N0.HOG0000198	Cmi29	Cpl44	Ler38			Xtr01
N0.HOG0000199	CmiSca	Cpl44	LerSca	Loc24		
N0.HOG0000200			Ler15, Ler01, Ler05, Ler10, Ler08, Ler12, Ler18, Ler22, Ler04, Ler03, Ler24, Ler06, Ler13, Ler07, Ler23, Ler16, Ler02, Ler09, Ler17			
N0.HOG0000201				Loc08, Loc12, Loc01, Loc09, Loc02, Loc05		
N0.HOG0000202						Xtr03
N0.HOG0000203	Cmi29, Cmi08	Cpl30	Ler31	Loc06	Gga17	Xtr03
N0.HOG0000204	Cmi08	Cpl30	Ler31	Loc21		
N0.HOG0000205	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr06
N0.HOG0000206		Cpl17	Ler17	Loc23	Gga11	
N0.HOG0000207	Cmi18	Cpl35	Ler21	Loc18		Xtr10
N0.HOG0000208	Cmi30	CplSca				Xtr06, Xtr08
N0.HOG0000209		Cpl30				Xtr04
N0.HOG0000210	Cmi18	Cpl20	Ler21			
N0.HOG0000211	Cmi02	Cpl37	LerSca	Loc09	Gga02	
N0.HOG0000212	Cmi13	Cpl14	Ler28, Ler15, Ler01, Ler10, Ler08, Ler18, Ler03, Ler04, Ler24, Ler13, Ler20, Ler14, Ler11, Ler16, Ler02, Ler41, Ler17, Ler21	Loc06		
N0.HOG0000213	Cmi11		Ler14	Loc04		Xtr01
N0.HOG0000214			Ler19, Ler01, Ler05, Ler10, Ler33, Ler36, Ler08, Ler12, Ler18, Ler22, Ler03, Ler04, Ler06, Ler14, Ler07, Ler23, Ler02, Ler32, Ler37, Ler34, Ler21			
N0.HOG0000215			Ler15, Ler01, Ler05, Ler08, Ler04, Ler03, Ler06, Ler13, Ler11, Ler23, Ler07, Ler29, Ler16, Ler26, Ler02, Ler30			
N0.HOG0000216				Loc04, Loc29, Loc09, Loc18, Loc28, Loc05, Loc24, Loc14, Loc15, Loc22, Loc01, Loc17, Loc02		
N0.HOG0000217						Xtr10, Xtr03
N0.HOG0000218						Xtr01, Xtr02, Xtr06, Xtr08, Xtr05, Xtr04, Xtr09
N0.HOG0000219					Gga25	
N0.HOG0000220			Ler28, Ler15, Ler01, Ler05, Ler10, Ler08, Ler38, Ler12, Ler04, Ler03, Ler24, Ler13, Ler14, Ler20, Ler50, Ler11, Ler23, Ler07, Ler16, Ler26, Ler02, Ler30, Ler09, Ler17, Ler21			
N0.HOG0000221	Cmi02	Cpl04	Ler15, Ler01, Ler05, Ler10, Ler33, Ler08, Ler12, Ler22, Ler04, Ler24, Ler06, Ler27, Ler07, Ler11, Ler29, Ler16, Ler26, Ler02, Ler32, Ler09, Ler19	Loc09		
N0.HOG0000222						Xtr01, Xtr10, Xtr08, Xtr05, Xtr09, Xtr07, Xtr04
N0.HOG0000223	Cmi05, Cmi07	Cpl03	Ler28, Ler15, Ler01, Ler05, Ler08, Ler12, Ler22, Ler03, Ler04, Ler06, Ler13, Ler14, Ler20, Ler27, Ler07, Ler11, Ler42, Ler45, Ler02, Ler32, Ler40, Ler09, Ler19			
N0.HOG0000224	Cmi08	Cpl39	Ler02, Ler05, Ler09, Ler18, Ler19			Xtr07
N0.HOG0000225					Gga04, Gga31, Gga17, Gga02, Gga06, Gga20, GgaZ, Gga14, Gga01, Gga03, GgaW, Gga09, Gga05, Gga12	
N0.HOG0000226	Cmi13					Xtr03
N0.HOG0000227	Cmi16	Cpl21	Ler20		Gga14	
N0.HOG0000228			Ler01, Ler05, Ler11, Ler10, Ler18, Ler03, Ler34, Ler24, Ler21			
N0.HOG0000229			Ler29			Xtr02
N0.HOG0000230			Ler15, Ler01, Ler05, Ler10, Ler08, Ler12, Ler22, Ler03, Ler20, Ler07, Ler26, Ler02, Ler32, Ler37, Ler34, Ler19		Gga01	Xtr05
N0.HOG0000231	Cmi27	Cpl43	Ler40	Loc04	Gga34	Xtr02
N0.HOG0000232				Loc12		Xtr09
N0.HOG0000233	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0000234		Cpl33	Ler27	Loc06		
N0.HOG0000235		CplSca	LerSca	Loc10, Loc21	Gga17	Xtr08, Xtr04
